id,adaptibility,danceability,duration,energy,explicit,happening,instrumentalness,loudness,mode,naturality,positiveness,release_date,reputation,speechiness,tempo,time_signature,total_tracks
VKpqYUqyes6tjxUE,0,47.8,648405.0,2.94,False,0.105,0.948,-45.638,6,0.993,0.148,1962,61,0.0453,124.308,3,10
Bd8ufO7wOFegZXVz,10,71.0,347181.0,97.89999999999999,False,0.105,0.754,-6.366,5,0.00263,0.594,2019-04-17,53,0.058,145.994,4,1
RbsK7ydOf0CWomVN,2,53.900000000000006,447695.0,47.0,True,0.124,0.0,-12.164000000000001,5,0.299,0.384,2023-09-29,56,0.0652,129.676,4,17
mYx3izxEyO3axauu,7,,376005.0,47.0,False,0.131,1.12e-06,-7.84,5,0.137,0.0569,2023-09-15,61,0.0329,120.006,4,1
ECLOwMMomoDb6IM6,0,56.49999999999999,408671.0,52.6,False,0.11,0.000119,-17.704,6,0.0339,0.637,1971,62,0.0365,167.936,4,10
66Yi0zn8OxcimzOj,9,68.5,411445.0,47.199999999999996,False,0.224,0.284,-14.382000000000001,5,0.785,0.475,2000-01-01,62,0.0298,80.487,4,27
afEyhhwRZSdwvlAG,6,72.1,249135.0,,False,0.15,0.95,-14.34,5,0.0426,0.896,2018-03-30,56,0.0648,105.605,4,6
VDlu3HHu9WVMnZeO,0,52.0,407525.0,4.06,False,0.0845,0.000364,-27.793999999999997,6,0.877,0.285,1952-04-01,70,0.0635,70.138,4,18
SeFqFyo5hRUK0IsS,0,30.3,829925.0,49.2,False,0.288,0.63,-16.432,6,0.197,0.677,1984,48,0.039,200.018,3,27
0aigO7bqrAmImxOi,0,52.6,336155.0,45.9,False,0.229,0.0,-12.568000000000001,5,0.464,0.342,2023-07-21,64,0.164,139.387,4,1
Tju1hgKMWBy3nCmG,10,44.2,359285.0,3.3000000000000003,False,0.151,0.000171,-41.126,6,0.922,0.21,1956,62,0.041,103.34,3,14
qAsplft7e1oQzlNp,10,37.6,338591.0,67.0,False,0.0718,2.52e-06,-13.546,6,0.0727,0.837,1969-08-21,62,0.0854,185.503,4,19
O/ej+CUQHEpi6JYQ,4,35.9,412671.0,92.60000000000001,False,0.131,0.0106,-4.404,5,0.000785,0.27,1984,47,0.0804,99.911,4,12
Ow6xe20uPrH6lyWL,0,51.5,667897.0,58.3,False,0.123,0.000294,-11.364,5,0.749,0.414,1964-06-17,64,0.0284,116.11,4,6
UGc/Pnidx7zAn8Yr,0,63.6,378271.0,66.8,False,0.0555,0.00121,-8.714,6,0.749,0.666,1997-01-01,46,0.0568,,4,45
IAIYlsYrEIWPb0U0,9,28.599999999999998,689871.0,89.5,False,0.0562,0.141,-7.082000000000001,5,0.00209,0.58,1984,54,0.104,172.764,4,21
5utfbcwIByYCmlUi,6,80.0,455631.0,,False,0.221,9.02e-05,-6.67,6,0.131,0.528,2017-06-09,68,0.0626,106.031,4,17
ph0Zb1N6SYGI8y+4,5,59.9,738777.0,44.4,False,0.122,0.000474,-12.296,5,0.82,0.508,1960-10-01,55,0.044,,4,6
kcI53Q5CjxwLbAq4,0,52.0,513125.0,13.200000000000001,False,0.246,0.00101,-30.714,6,0.916,0.377,1964,64,0.0478,127.355,4,18
oBou+nKMx4lAXdj0,9,74.6,327871.0,91.60000000000001,False,0.0785,0.0686,-15.122,6,0.518,0.971,1974,48,0.0772,99.926,4,12
92TmPH2ZICA594jk,8,66.2,746431.0,58.5,False,0.443,1.08e-05,-15.475999999999999,5,0.531,0.829,1975-12-15,49,0.101,89.212,4,7
mq0I1QVDvem7Fmf1,5,64.2,356253.0,83.39999999999999,False,0.509,0.0,-6.058,5,0.328,0.606,2012-03-02,53,0.269,127.881,4,1
PAG40E/jv146g8Gq,3,57.99999999999999,611817.0,91.60000000000001,False,0.126,0.0259,-3.7159999999999993,5,0.000297,0.683,2013-08-23,80,0.0387,118.004,4,10
S/jqja0pXcYA3/vd,10,82.1,504751.0,72.1,False,0.0664,7.37e-06,-15.802,5,0.0816,0.885,1976-09-28,67,0.0515,105.866,4,21
Y1c/zbirDctw2EEM,10,78.0,407679.0,87.4,True,0.0754,0.362,-7.231999999999999,5,0.0255,0.69,2023-03-31,44,0.199,155.017,4,16
RhiJgm2FzYe6oCft,4,51.9,346085.0,77.9,False,0.286,8.13e-05,-13.318000000000001,6,0.573,0.888,1997-05-20,50,0.0648,113.487,4,20
MdzD7bO9FNe7iTwx,9,61.8,342861.0,98.0,False,0.328,0.516,3.316,5,0.0266,0.488,2020-02-25,59,0.0777,140.003,4,1
VGiLQKocwZWtUd4h,2,22.400000000000002,358751.0,21.4,False,0.367,0.00094,-23.91,5,0.976,0.14,1958-07-07,59,0.0348,83.906,3,18
nmh9a6TbrphpFojl,1,85.5,430937.0,67.80000000000001,True,0.412,3.69e-05,-7.552,6,0.0569,0.852,2023-06-02,93,0.189,99.029,4,1
4nR+dA5c5n09IbDz,10,65.9,364725.0,11.3,False,0.179,0.88,-28.512,5,0.976,0.738,1996-05-21,54,0.0569,95.063,4,19
sM8C3Rf/mdXlcL9F,1,84.0,312799.0,41.199999999999996,False,0.041,0.784,-23.46,6,0.0217,0.963,1967-01-01,52,0.056,122.807,4,11
bMYa9mXXlF920H+Z,9,55.300000000000004,684137.0,54.6,False,0.167,0.000557,,5,0.439,0.7,1958-04,57,0.0341,118.214,4,9
w4aEBbgFny+b9bLA,4,67.80000000000001,433257.0,61.199999999999996,False,0.164,0.318,-14.527999999999999,6,0.101,0.857,1969,52,0.0339,118.381,4,11
5K615WRDoFPJ9MEn,1,66.8,420457.0,72.5,False,0.0561,0.000479,-7.254,6,0.0102,0.729,2016-10-21,72,0.266,191.944,4,19
Ja7oTePWSgsvb4kC,1,74.8,470991.0,78.8,True,0.0863,0.0,-9.11,6,0.0591,0.884,2014-09-02,83,0.0334,120.076,4,12
a2fYCu5FkWIwZ/yV,8,80.30000000000001,459693.0,49.0,False,0.112,0.0289,-11.8,6,0.61,0.207,2023-07-21,62,0.0617,75.515,4,1
8MdF/ZMU8f5Tf92f,0,59.5,373085.0,26.700000000000003,False,0.158,0.0,-15.46,6,0.836,0.229,2023-07-21,67,0.0308,105.205,4,1
UOwb8wHBz9rjIozb,10,49.2,294831.0,6.710000000000001,False,0.109,0.000968,-26.342,5,0.958,0.165,1955-12-01,59,0.0399,124.908,4,13
TkiaLWaUv/ytLeUj,7,31.900000000000002,407311.0,96.5,False,0.141,0.00221,-3.708,5,9.4e-05,0.624,1992,46,0.0646,127.721,4,12
QMkJBq5NcPAg7YNK,2,59.8,642271.0,,False,0.681,0.000215,-16.764,6,0.44,0.615,1977,65,0.0973,111.129,3,15
